run_id,model_family,model_variant,train_size_label,seed,split,bin,bin_left,bin_right,bin_midpoint,row_count,avg_pred,empirical_pass_rate,ECE
strict__M1_TFIDF__baseline__full__seed42,M1_TFIDF,baseline,full,42,test,0,0.0,0.1,0.05,3976,0.03400786519546467,0.009808853118712274,0.2050191711610086
strict__M1_TFIDF__baseline__full__seed42,M1_TFIDF,baseline,full,42,test,1,0.1,0.2,0.15000000000000002,1771,0.14772686134247642,0.020892151326933936,0.2050191711610086
strict__M1_TFIDF__baseline__full__seed42,M1_TFIDF,baseline,full,42,test,2,0.2,0.30000000000000004,0.25,1339,0.2480140039843352,0.043315907393577296,0.2050191711610086
strict__M1_TFIDF__baseline__full__seed42,M1_TFIDF,baseline,full,42,test,3,0.30000000000000004,0.4,0.35000000000000003,1237,0.35049387448818914,0.07760711398544867,0.2050191711610086
strict__M1_TFIDF__baseline__full__seed42,M1_TFIDF,baseline,full,42,test,4,0.4,0.5,0.45,1157,0.45041959658715885,0.1633535004321521,0.2050191711610086
strict__M1_TFIDF__baseline__full__seed42,M1_TFIDF,baseline,full,42,test,5,0.5,0.6000000000000001,0.55,1210,0.5513578533141081,0.26694214876033057,0.2050191711610086
strict__M1_TFIDF__baseline__full__seed42,M1_TFIDF,baseline,full,42,test,6,0.6000000000000001,0.7000000000000001,0.6500000000000001,1233,0.650585319729037,0.3422546634225466,0.2050191711610086
strict__M1_TFIDF__baseline__full__seed42,M1_TFIDF,baseline,full,42,test,7,0.7000000000000001,0.8,0.75,1192,0.7489903457712808,0.40604026845637586,0.2050191711610086
strict__M1_TFIDF__baseline__full__seed42,M1_TFIDF,baseline,full,42,test,8,0.8,0.9,0.8500000000000001,890,0.8446856958812542,0.43258426966292135,0.2050191711610086
strict__M1_TFIDF__baseline__full__seed42,M1_TFIDF,baseline,full,42,test,9,0.9,1.0,0.95,257,0.9279193193995999,0.30739299610894943,0.2050191711610086
strict__M1_TFIDF__baseline__full__seed42,M1_TFIDF,baseline,full,42,val,0,0.0,0.1,0.05,1671,0.03287491211538844,0.011968880909634948,0.08648871801619143
strict__M1_TFIDF__baseline__full__seed42,M1_TFIDF,baseline,full,42,val,1,0.1,0.2,0.15000000000000002,714,0.14792381622502448,0.04061624649859944,0.08648871801619143
strict__M1_TFIDF__baseline__full__seed42,M1_TFIDF,baseline,full,42,val,2,0.2,0.30000000000000004,0.25,598,0.24805299389521812,0.0802675585284281,0.08648871801619143
strict__M1_TFIDF__baseline__full__seed42,M1_TFIDF,baseline,full,42,val,3,0.30000000000000004,0.4,0.35000000000000003,625,0.35014953737258914,0.1632,0.08648871801619143
strict__M1_TFIDF__baseline__full__seed42,M1_TFIDF,baseline,full,42,val,4,0.4,0.5,0.45,537,0.44967924138909166,0.21601489757914338,0.08648871801619143
strict__M1_TFIDF__baseline__full__seed42,M1_TFIDF,baseline,full,42,val,5,0.5,0.6000000000000001,0.55,571,0.5512586737054869,0.4115586690017513,0.08648871801619143
strict__M1_TFIDF__baseline__full__seed42,M1_TFIDF,baseline,full,42,val,6,0.6000000000000001,0.7000000000000001,0.6500000000000001,606,0.650952834205659,0.5841584158415841,0.08648871801619143
strict__M1_TFIDF__baseline__full__seed42,M1_TFIDF,baseline,full,42,val,7,0.7000000000000001,0.8,0.75,626,0.7505551274782553,0.7364217252396166,0.08648871801619143
