constraint_id,test_rows,positive_rate,M1_TFIDF_AUPRC,M1_TFIDF_AUROC,M3_mean_AUPRC,M3_mean_AUROC,M4_frozen_AUPRC,M4_frozen_AUROC,best_model
detectable_format:title,4581,0.29469548133595286,0.8022426088197839,0.9147964739731995,0.8321478176981202,0.9254048167635291,0.8073228076062376,0.9023194286827836,M3_mean
keywords:word_once,4531,0.11035091591260207,0.2489407738363928,0.7851639791614985,0.2631230230054051,0.7899295460183579,0.2905676907500721,0.7914973951872986,M4_frozen
keywords:no_adjacent_consecutive,4353,0.06547208821502412,0.15514486637364333,0.7493211889113146,0.13281685543387603,0.7460401248943401,0.1482808701100555,0.7750254446342011,M1_TFIDF
copy:copying_multiple,1607,0.013067828251400125,0.017399156227491996,0.5606197081606917,0.0330753081086895,0.7849936948297604,0.03178729061345008,0.7916891851318081,M3_mean
keywords:existence,731,0.1518467852257182,0.3093825253470073,0.7875181633246149,0.41252978008953983,0.8213746004068585,0.2919293541326804,0.7608979947689625,M3_mean
paragraphs:paragraphs2,725,0.030344827586206897,0.06026840553301936,0.7113668692616061,0.05302377758600737,0.7032846243372559,0.07527384746628521,0.7272727272727273,M4_frozen
keywords:exclude_word_harder,720,0.14305555555555555,0.32386842819381173,0.8052902393353369,0.3366525110570004,0.8119935170178282,0.34176014106515884,0.803575081430662,M4_frozen
paragraphs:paragraphs,720,0.14444444444444443,0.31753201571515877,0.8143575174825175,0.37208213440600485,0.8354301948051949,0.4172478474564991,0.8125936563436563,M4_frozen
startend:end_checker,714,0.12464985994397759,0.2864464375678419,0.7815370786516853,0.32327230640180477,0.7927730337078651,0.23580420413774106,0.7304988764044944,M3_mean
change_case:english_capital,710,0.10140845070422536,0.22045768359548112,0.7316266109369558,0.22656423781229318,0.7446011842563567,0.23641882018955612,0.7338035527690699,M4_frozen
punctuation:punctuation_dot,710,0.06619718309859154,0.1164655187462216,0.6514553448220533,0.16598352192793292,0.7370430987452264,0.16023520997893537,0.7400596899971118,M3_mean
last_word:last_word_answer,707,0.14992927864214992,0.34470510672694477,0.8240354126769849,0.3204684635021509,0.8154804884940194,0.36483032708371765,0.8053715505603868,M4_frozen
length_constraints:nth_paragraph_first_word,707,0.007072135785007072,0.014220708385336586,0.7111111111111111,0.014836805801016865,0.7259259259259259,0.035675771361255236,0.8883190883190883,M4_frozen
detectable_format:number_bullet_lists,701,0.16405135520684735,0.36583278073670694,0.8068407775634368,0.5002473059696072,0.8487609437602018,0.44397290640403664,0.8293663748330613,M3_mean
keywords:forbidden_words,701,0.19400855920114124,0.43473471806071473,0.8124544508068714,0.45437887638993923,0.818427902134305,0.42125528004856766,0.8012883914627797,M3_mean
detectable_content:number_placeholders,697,0.15494978479196556,0.3353458283057371,0.8104445702068792,0.44357271240264645,0.8322329120291768,0.29134656894939415,0.7420298056970382,M3_mean
punctuation:no_comma,695,0.20287769784172663,0.4696498060505397,0.8270732519138694,0.517837202135911,0.8326548378011623,0.4675051908947061,0.8079985661981206,M3_mean
punctuation:punctuation_exclamation,694,0.1873198847262248,0.42679044353182155,0.8167484997272232,0.5205197096653174,0.8305373704309875,0.4645581585071168,0.8061238406983089,M3_mean
keywords:word_count_different_numbers,693,0.08946608946608947,0.1886290976153816,0.7506006850365524,0.21150328070824873,0.7799192270333828,0.1715131326530567,0.7363120494862226,M3_mean
length_constraints:number_sentences,693,0.12842712842712842,0.27106519655715916,0.786554059081777,0.3357530060775041,0.7926557035493713,0.3156771056513813,0.7618870451670513,M3_mean
count:lowercase_counting,683,0.020497803806734993,0.14654360696119584,0.7084134102071321,0.20236235927513574,0.7832585949177877,0.06643892532787637,0.6998718770019219,M3_mean
detectable_format:multiple_sections,682,0.09530791788856305,0.2605341982467794,0.8458546315920707,0.4645851115620789,0.8550056102730332,0.39500478437345116,0.8443834933300087,M3_mean
length_constraints:number_paragraphs,680,0.09558823529411764,0.23501186755774572,0.8193621013133208,0.3572137677592338,0.8612632895559725,0.34000250952811256,0.8367979987492182,M3_mean
keywords:start_end,679,0.036818851251840944,0.12367653188096389,0.7743119266055046,0.11235005199083249,0.8081345565749236,0.39402465745042137,0.902691131498471,M4_frozen
detectable_content:postscript,678,0.13126843657817108,0.35962207875123114,0.8283512332843708,0.4528020611567427,0.850861296045478,0.27111093170477985,0.7778180500181224,M3_mean
first_word:first_word_sent,677,0.011816838995568686,0.023527807834405622,0.6111733931240657,0.033530581563362596,0.8077354260089686,0.11863983938941448,0.8563153961136023,M4_frozen
keywords:frequency,676,0.15680473372781065,0.3802225502635957,0.822409798080106,0.3506593307040098,0.8147633234028467,0.3899159534682591,0.8056603773584906,M4_frozen
count:count_increment_word,672,0.06101190476190476,0.179095426901957,0.7264504657724866,0.1757753472933929,0.7540875884194658,0.13535735260648138,0.6993158362645433,M1_TFIDF
count:count_unique,672,0.01488095238095238,0.22431898691869978,0.6832326283987916,0.18184346549438193,0.8350453172205439,0.24147803584933034,0.784441087613293,M4_frozen
last_word:last_word_sent,672,0.047619047619047616,0.09692175137772938,0.681298828125,0.17942175964049395,0.834765625,0.21066655004755153,0.81611328125,M4_frozen
letters:letter_counting,672,0.08035714285714286,0.34399300693811125,0.8794798034280236,0.2781429278675622,0.8089116624715329,0.2512945732668946,0.7910823444804027,M1_TFIDF
copy:repeat_phrase,669,0.0,,,,,,,
detectable_format:square_brackets,667,0.014992503748125937,0.09343091077919662,0.771689497716895,0.07025813888954294,0.812937595129376,0.127053028845749,0.8646879756468797,M4_frozen
detectable_format:number_highlighted_sections,655,0.1083969465648855,0.2596068783908535,0.8033715994597724,0.4436925851805132,0.843961026432568,0.25823667688607294,0.79075824811885,M3_mean
count:counting_composition,653,0.0,,,,,,,
change_case:english_lowercase,651,0.14285714285714285,0.34382541552405976,0.7902647704936987,0.3527935764096595,0.8013835896250048,0.3496799776545487,0.7956796546806952,M3_mean
first_word:first_word_answer,638,0.06896551724137931,0.22445376076346366,0.7552035506580962,0.23249246900791232,0.73595806550352,0.146210133572176,0.7389424548515457,M3_mean
detectable_format:bigram_wrapping,631,0.020602218700475437,0.13549316463831035,0.8085636046801096,0.1879799781700177,0.8928304705003733,0.23415390529169125,0.9139905402041325,M4_frozen
keywords:letter_frequency,627,0.12440191387559808,0.3405892896184274,0.8186679744056793,0.3906222898646411,0.8177805800756621,0.3302458075375823,0.7910186352809304,M3_mean
keywords:palindrome,619,0.14378029079159935,0.38533203138970856,0.8582361670553318,0.4572307902110559,0.8679033283866865,0.34786207716767226,0.8113631545473818,M3_mean
detectable_format:sentence_hyphens,617,0.011345218800648298,0.03947968674676749,0.7655737704918033,0.02780378562666435,0.7700234192037471,0.04068129090807738,0.7796252927400469,M4_frozen
length_constraints:number_words,616,0.09902597402597403,0.23925893236872367,0.8094225372913897,0.3669065751345025,0.8438339979323586,0.3812555830522518,0.8431841677743316,M4_frozen
letters:letter_counting2,601,0.10815307820299501,0.2581898474903132,0.8159299655568313,0.2518023503129323,0.7777841561423652,0.30172526037718106,0.825516647531573,M4_frozen
keywords:keyword_specific_position,597,0.0033500837520938024,0.17154471544715447,0.8277310924369747,0.07671957671957672,0.8378151260504202,0.045553737043098744,0.8731092436974789,M1_TFIDF
startend:quotation,593,0.09949409780775717,0.3637513248996266,0.8172411604138894,0.28672220003648435,0.8288262553164476,0.36287311492212815,0.8200660191709516,M1_TFIDF
change_case:capital_word_frequency,563,0.13143872113676733,0.346643614997279,0.8179959100204499,0.35350517830512096,0.8188249599292544,0.361890084684679,0.8170839551207649,M4_frozen
language:response_language,497,0.193158953722334,0.42378195839519484,0.8034600997506234,0.538419422969943,0.839385910224439,0.44088493689579894,0.8110972568578553,M3_mean
combination:repeat_prompt,197,0.1319796954314721,0.3087101608860316,0.8315339631129105,0.4272914923947374,0.8661718398560503,0.5300286919027103,0.876293297345929,M4_frozen
combination:two_responses,184,0.20652173913043478,0.37892765469078826,0.783886085075703,0.5102290837962083,0.8129055515501081,0.4861563363315077,0.8186733958183129,M3_mean
copy:copy,181,0.011049723756906077,0.024705882352941175,0.6787709497206704,0.2669491525423729,0.8379888268156426,0.6,0.9776536312849162,M4_frozen
detectable_format:json_format,170,0.12352941176470589,0.3054310107161266,0.7686161713007351,0.30197054420779756,0.8133589006072228,0.39612898761341037,0.7897091722595079,M4_frozen
detectable_format:constrained_response,161,0.15527950310559005,0.34288762495865643,0.7676470588235295,0.4540332157310554,0.8458823529411765,0.2922904761520987,0.7608823529411765,M3_mean
copy:copying_simple,147,0.006802721088435374,0.25,0.9794520547945206,0.0625,0.8972602739726028,0.1111111111111111,0.9452054794520548,M1_TFIDF
new:copy_span_idx,142,0.0,,,,,,,
