run_id,tokenizer_protocol,model_family,model_variant,train_size_label,requested_train_size,effective_train_size,seed,split,row_count,positive_count,baseline_AUPRC,accuracy,f1,precision,brier,AUROC,AUPRC,ECE
strict__M1_TFIDF__baseline__full__seed42,strict_atomic_train,M1_TFIDF,baseline,full,full,61504,42,test,14262,2112,0.1480858224652924,0.7540316926097321,0.4911517261386713,0.35403596821413635,0.16368362879967036,0.8310062429854097,0.36632812968658357,0.2050191711610086
strict__M1_TFIDF__baseline__full__seed42,strict_atomic_train,M1_TFIDF,baseline,full,full,61504,42,val,6840,2135,0.3121345029239766,0.8260233918128655,0.7536231884057971,0.6753246753246753,0.12648661668938083,0.9049627806384658,0.8001100795251765,0.08648871801619143
strict__M1_TFIDF__baseline__full__seed43,strict_atomic_train,M1_TFIDF,baseline,full,full,61504,43,test,14262,2112,0.1480858224652924,0.7540316926097321,0.4911517261386713,0.35403596821413635,0.16366839221228785,0.8310076459034792,0.36632608264910715,0.20499907407550563
strict__M1_TFIDF__baseline__full__seed43,strict_atomic_train,M1_TFIDF,baseline,full,full,61504,43,val,6840,2135,0.3121345029239766,0.8258771929824561,0.7533650859391179,0.6752041573867854,0.12648285046949972,0.9049629299638882,0.8001201686904544,0.08646129952019223
strict__M1_TFIDF__baseline__full__seed44,strict_atomic_train,M1_TFIDF,baseline,full,full,61504,44,test,14262,2112,0.1480858224652924,0.7540316926097321,0.49129930394431554,0.3540969899665552,0.16368235915842136,0.8310086396371118,0.3663319511124667,0.20502449427604405
strict__M1_TFIDF__baseline__full__seed44,strict_atomic_train,M1_TFIDF,baseline,full,full,61504,44,val,6840,2135,0.3121345029239766,0.8258771929824561,0.7533650859391179,0.6752041573867854,0.1264886931898,0.9049638259164225,0.8001165876329905,0.08648878493927435
strict__M3_mean__mean_pooling__40k__seed42,strict_atomic_train,M3_mean,mean_pooling,40k,40k,40000,42,test,14262,2112,0.1480858224652924,0.7461085401766933,0.46773482287226226,0.33916009379663187,0.18770003709476227,0.8295005611672279,0.40403599566902443,0.21297021451937861
strict__M3_mean__mean_pooling__40k__seed42,strict_atomic_train,M3_mean,mean_pooling,40k,40k,40000,42,val,6840,2135,0.3121345029239766,0.7998538011695906,0.7276705788740799,0.6324343015214384,0.14379169533445696,0.8945450925444305,0.784926642118752,0.12222955613553643
strict__M3_mean__mean_pooling__40k__seed43,strict_atomic_train,M3_mean,mean_pooling,40k,40k,40000,43,test,14262,2112,0.1480858224652924,0.8017809563876034,0.5087749782797567,0.4018665934669229,0.15757377984177914,0.8517268362638732,0.46698916399736456,0.14808599087101781
strict__M3_mean__mean_pooling__40k__seed43,strict_atomic_train,M3_mean,mean_pooling,40k,40k,40000,43,val,6840,2135,0.3121345029239766,0.8251461988304094,0.7306306306306306,0.7036876355748373,0.13247313900093466,0.8956603045740865,0.7845663521063911,0.07278885188940043
