model_family,model_variant,train_size_label,coverage,run_count,seeds,selective_accuracy_mean,selective_accuracy_std,selective_risk_mean,selective_risk_std,selected_positive_precision_mean,selected_positive_precision_std,mean_confidence_mean,mean_confidence_std
M1_TFIDF,baseline,full,0.1,3,"42,43,44",0.9950911640953718,1.3597399555105182e-16,0.004908835904628317,0.0,0.004207573632538569,0.0,0.9955752654783346,7.138717702820024e-07
M1_TFIDF,baseline,full,0.2,3,"42,43,44",0.9800140252454418,0.0,0.01998597475455821,0.0,0.011220196353436185,0.0,0.9826723664326656,2.3071341622003033e-06
M1_TFIDF,baseline,full,0.5,3,"42,43,44",0.8844014397232739,0.00016192687398394536,0.11559856027672603,0.00016192687398394536,0.08175571448604683,0.0,0.9155713963672883,1.0013899685175396e-05
M1_TFIDF,baseline,full,1.0,3,"42,43,44",0.7540316926097321,0.0,0.24596830739026787,0.0,0.1480858224652924,0.0,0.7816960346551319,1.1032163036386475e-05
M3_mean,mean_pooling,40k,0.1,3,"42,43,44",0.9985974754558203,0.0012146218846906813,0.0014025245441795509,0.0012146218846906813,0.001402524544179523,0.0012146218846906573,0.993695096158015,0.0028991048563907196
M3_mean,mean_pooling,40k,0.2,3,"42,43,44",0.9742870500233755,0.03937438306278319,0.025712949976624617,0.03937438306278319,0.02571294997662459,0.0393743830627832,0.9895785390927049,0.006313320172203271
M3_mean,mean_pooling,40k,0.5,3,"42,43,44",0.8750058430327678,0.03922066444397829,0.12499415696723226,0.03922066444397829,0.11915112419950451,0.025587904736688722,0.9745125248895535,0.016562472050295127
M3_mean,mean_pooling,40k,1.0,3,"42,43,44",0.7774271958117142,0.028482219086277988,0.22257280418828593,0.028482219086277988,0.1480858224652924,0.0,0.8840146037214619,0.03247390843735078
M3_mean,mean_pooling,full,0.1,3,"42,43,44",0.9992987377279103,0.0007012622720897755,0.0007012622720897754,0.0007012622720897754,0.0007012622720897616,0.0007012622720897616,0.9968231101064277,0.0006144225881528981
M3_mean,mean_pooling,full,0.2,3,"42,43,44",0.9975455820476858,0.001264218539784017,0.0024544179523141585,0.001264218539784017,0.0024544179523141654,0.0012642185397840073,0.9956625064175538,0.0012068526237680435
M3_mean,mean_pooling,full,0.5,3,"42,43,44",0.944561305099799,0.006167586106880058,0.055438694900201,0.006167586106880059,0.06829336698920208,0.022447322796725448,0.9850990717629139,0.0037444942710678133
M3_mean,mean_pooling,full,1.0,3,"42,43,44",0.785560697424391,0.011423880710214626,0.21443930257560884,0.011423880710214626,0.1480858224652924,0.0,0.8971971036546638,0.019866912182009967
M4_frozen,frozen_encoder,40k,0.1,3,"42,43,44",0.998831229546517,0.0014597938285176536,0.001168770453482959,0.0014597938285176536,0.0011687704534829358,0.0010711958146226834,0.9998938658275557,9.019267297008772e-05
M4_frozen,frozen_encoder,40k,0.2,3,"42,43,44",0.9934548854604955,0.0033140362035431635,0.00654511453950446,0.0033140362035431635,0.00876577840112202,0.00620329804100776,0.9990574733303973,0.0006474412937641996
M4_frozen,frozen_encoder,40k,0.5,3,"42,43,44",0.9221708035338662,0.009143134658647018,0.0778291964661338,0.009143134658647018,0.08114803907820316,0.013885406476745951,0.982916257532486,0.006511753996287286
M4_frozen,frozen_encoder,40k,1.0,3,"42,43,44",0.7736876548403684,0.008986212076171384,0.2263123451596317,0.008986212076171384,0.1480858224652924,0.0,0.8674562037678512,0.013605002835401716
M4_frozen,frozen_encoder,full,0.1,3,"42,43,44",0.9990649836372136,0.0008097479231271208,0.0009350163627863672,0.0008097479231271208,0.00046750818139317435,0.0008097479231271049,0.9999405316537219,3.5007393191128994e-05
M4_frozen,frozen_encoder,full,0.2,3,"42,43,44",0.9934548854604955,0.004183153381994678,0.00654511453950446,0.004183153381994678,0.005259467040673212,0.0009276827878908101,0.9993195184070277,0.000343762317670024
M4_frozen,frozen_encoder,full,0.5,3,"42,43,44",0.9179638199411023,0.009679110322107679,0.08203618005889775,0.009679110322107679,0.07661384565044642,0.008803819841625617,0.9834514153131139,0.004342757865411827
M4_frozen,frozen_encoder,full,1.0,3,"42,43,44",0.7631234515963166,0.006228267303283115,0.23687654840368344,0.006228267303283115,0.1480858224652924,0.0,0.8661964342752587,0.009554306252861923
